filename,width,height,class,xmin,xmax,ymin,ymax
JPEG_20160706_121146_1000145715002.png,640,480,object,115,495,143,325
JPEG_20161119_174038_1000690577600.png,640,480,object,23,457,61,409
147444927651111470309333776-Roadster-Men-Casual-Shoes-3041470309333487-1.png,640,480,object,37,601,13,470
147772332675720161028_161611.png,640,480,object,27,602,162,385
1473315333651DeeplearnS11638.png,640,480,object,60,586,174,325
JPEG_20161028_100621_1000815239330.png,640,480,object,77,558,86,434
JPEG_20160607_153530_1000669241198.png,640,480,object,134,500,67,429
JPEG_20160627_154106_1000265795536.png,640,480,object,99,524,80,294
JPEG_20161129_134328_1000772650224.png,640,480,object,59,587,110,395
JPEG_20161201_123114_1000360160859.png,640,480,object,52,625,142,304
JPEG_20160621_155815_1000614998565.png,640,480,object,179,465,41,416
147772025319520161028_151915.png,640,480,object,22,613,150,354
147742629330620161025_155320.png,640,480,object,125,499,20,268
JPEG_20160527_155124_1000980290136.png,640,480,object,154,467,0,480
JPEG_20161028_121752_10003102030.png,640,480,object,134,546,161,349
1474638701993DSC06811.png,640,480,object,161,573,43,382
JPEG_20160628_132442_1000306311172.png,640,480,object,114,542,125,372
147742527128620161025_151026.png,640,480,object,42,479,119,364
JPEG_20160709_131920_1000403949668.png,640,480,object,24,477,19,472
1474711748206DSC07405.png,640,480,object,65,609,107,334
JPEG_20161124_133940_1000370433134.png,640,480,object,209,389,27,438
JPEG_20161123_185817_1000936746234.png,640,480,object,175,486,164,299
JPEG_20160723_192023_100022810186.png,640,480,object,0,640,0,440
JPEG_20161123_161917_1000691245413.png,640,480,object,266,357,73,392
147772062874720161028_154604.png,640,480,object,86,566,92,338
1474634407232DSC05920.png,640,480,object,30,611,53,324
JPEG_20160810_135200_1000252350484.png,640,480,object,199,487,146,420
JPEG_20161130_151625_1000513274539.png,640,480,object,34,601,70,382
1473661629179DeeplearnS11509.png,640,480,object,60,583,152,332
JPEG_20161117_175829_1000670753549.png,640,480,object,234,362,145,349
JPEG_20161123_184340_1000982358317.png,640,480,object,112,483,169,337
147443993217111472450523339-Roadster-Men-Grey-Sneakers-4751472450523145-5.png,640,480,object,30,640,59,436
JPEG_20161025_131729_1000643972377.png,640,480,object,137,488,62,433
1473750236513IMG_1108.png,640,480,object,88,559,168,335
1472629089402zoom1-Copy.png,640,480,object,34,607,107,399
JPEG_20160704_172116_1000861608634.png,640,480,object,94,567,158,324
1480965215775IMG_3062.png,640,480,object,181,471,62,448
147772172258320161028_161511.png,640,480,object,72,583,45,343
1480951436923_R2A2137.png,640,480,object,217,434,94,411
JPEG_20161028_142637_1000923172242.png,640,480,object,49,613,83,417
JPEG_20161118_150700_1000506466445.png,640,480,object,173,473,45,417
1473662891981DeeplearnS11359.png,640,480,object,71,572,126,357
JPEG_20161203_132254_1000178670601.png,640,480,object,175,509,24,418
JPEG_20161130_132113_1000907499945.png,640,480,object,125,428,48,447
JPEG_20160706_111526_1000476009087.png,640,480,object,112,536,166,289
JPEG_20160715_140239_1000265718556.png,640,480,object,69,500,148,342
1480970876761IMG_3438.png,640,480,object,188,462,50,461
JPEG_20161209_183557_1000364935730.png,640,480,object,103,631,165,361
1480584645523IMG_20161129_210604.png,640,480,object,43,624,57,393
JPEG_20160704_133610_100024164384.png,640,480,object,88,562,187,291
JPEG_20161124_164003_1000351544496.png,640,480,object,134,477,73,421
JPEG_20160711_163048_1000163114709.png,640,480,object,226,421,26,418
1474702968408DSC07152.png,640,480,object,90,575,18,254
JPEG_20161202_161734_1000493518513.png,640,480,object,47,558,103,404
1480339688516_R2A4219.png,640,480,object,249,387,36,432
